Produit,Format,Désignation,Contenant,Packaging,Code-barre,Poids
"Kéfir de fruits Original","6x75cl","KÉFIR DE FRUITS ORIGINAL - 6X75CL (3383)","Bouteille 75cl EAU GAZEUSE - 0.75L","Carton de 6","3770014427052",7.23
"Kéfir de fruits Original","12x33cl","KÉFIR DE FRUITS ORIGINAL - 12X33CL (12)","Bouteille - 0.33L","Carton de 12","3770014427007",7.56
"Kéfir Gingembre","4x75cl","KÉFIR GINGEMBRE - 4X75CL (3382)","Bouteille 75cl SAFT - 0.75L","Pack de 4","23770014427049",4.68
"Kéfir Gingembre","6x75cl","KÉFIR GINGEMBRE - 6X75CL (3383)","Bouteille 75cl EAU GAZEUSE - 0.75L","Carton de 6","3770014427045",7.23
"Kéfir Gingembre","12x33cl","KÉFIR GINGEMBRE - 12X33CL (12)","Bouteille - 0.33L","Carton de 12","3770014427014",7.56
"Kéfir Mangue Passion","4x75cl","KÉFIR MANGUE PASSION - 4X75CL (3382)","Bouteille 75cl SAFT - 0.75L","Pack de 4","23770014427193",4.68
"Kéfir Mangue Passion","12x33cl","KÉFIR MANGUE PASSION - 12X33CL (12)","Bouteille - 0.33L","Carton de 12","3770014427038",7.56
"Kéfir Mangue Passion","6x75cl","KÉFIR MANGUE PASSION - 6X75CL (3383)","Bouteille 75cl EAU GAZEUSE - 0.75L","Carton de 6","3770014427199",7.23
"Kéfir menthe citron vert","4x75cl","KÉFIR MENTHE CITRON VERT - 4X75CL (3382)","Bouteille 75cl SAFT - 0.75L","Pack de 4","23770014427063",4.68
"Kéfir menthe citron vert","12x33cl","KÉFIR MENTHE CITRON VERT - 12X33CL (12)","Bouteille - 0.33L","Carton de 12","3770014427076",7.56
"Kéfir menthe citron vert","6x75cl","KÉFIR MENTHE CITRON VERT - 6X75CL (3383)","Bouteille 75cl EAU GAZEUSE - 0.75L","Carton de 6","3770014427069",7.23
"Infusion probiotique menthe poivrée","12x33cl","INFUSION PROBIOTIQUE MENTHE POIVRÉE - 12X33CL (12)","Bouteille - 0.33L","Carton de 12","3770014427182",7.56
"Kéfir Pamplemousse","4x75cl","KÉFIR PAMPLEMOUSSE - 4X75CL (3382)","Bouteille 75cl SAFT - 0.75L","Pack de 4","23770014427254",4.68
"Kéfir Pamplemousse","6x75cl","KÉFIR PAMPLEMOUSSE - 6X75CL (3383)","Bouteille 75cl EAU GAZEUSE - 0.75L","Carton de 6","3770014427250",7.23
"Kéfir Pamplemousse","12x33cl","KÉFIR PAMPLEMOUSSE - 12X33CL (12)","Bouteille - 0.33L","Carton de 12","3770014427267",7.56
"Infusion probiotique Anis","12x33cl","INFUSION PROBIOTIQUE ANIS - 12X33CL (12)","Bouteille - 0.33L","Carton de 12","3770014427175",7.56
"IGEBA Pêche","12x33cl","IGEBA PÊCHE - 12X33CL (12)","Bouteille - 0.33L","Carton de 12","3770014427274",7.56
"Infusion probiotique Mélisse","12x33cl","INFUSION PROBIOTIQUE MÉLISSE - 12X33CL (12)","Bouteille - 0.33L","Carton de 12","3770014427168",7.56
"Infusion probiotique Zest d'agrumes","12x33cl","INFUSION PROBIOTIQUE ZEST D'AGRUMES - 12X33CL (12)","Bouteille - 0.33L","Carton de 12","3770014427304",7.56
"Probiotic water Lemonbalm","12x33cl","INTER - INFUSION PROBIOTIQUE MELISSE 33 CL* (X12) (12)","Bouteille - 0.33L","Carton de 12","3770014427236",7.56
"Probiotic water Peppermint","12x33cl","INTER - INFUSION PROBIOTIQUE MENTHE POIVREE 33 CL*(12)","Bouteille - 0.33L","Carton de 12","3770014427229",7.56
"Water kefir Mango Passion","12x33cl","INTER - KEFIR MANGUE PASSION 33 CL* (X12) (12)","Bouteille - 0.33L","Carton de 12","3770014427021",7.56
"Water kefir Mint Lime","12x33cl","INTER - KEFIR MENTHE CITRON VERT 33 CL* (X12) (12)","Bouteille - 0.33L","Carton de 12","3770014427342",7.56
"Water kefir Grapefruit","12x33cl","INTER - KEFIR PAMPLEMOUSSE 33 CL* (X12) (12)","Bouteille - 0.33L","Carton de 12","3770014427243",6.741
"NIKO - Kéfir de fruits Menthe citron vert","12x33cl","NIKO - KEFIR MENTHE CITRON VERT 33 CL* (X12) (12)","Bouteille - 0.33L","Carton de 12","13770014427363",6.741
"NIKO - Kéfir de fruits Mangue Passion","12x33cl","NIKO - KEFIR MANGUE PASSION 33 CL* (X12) (12)","Bouteille - 0.33L","Carton de 12","13770014427387",6.741
"NIKO - Kéfir de fruits Gingembre","12x33cl","NIKO - KEFIR GINGEMBRE 33 CL* (X12) (12)","Bouteille - 0.33L","Carton de 12","13770014427325",6.741
"NIKO - Kéfir de fruits Mangue Passion","6x75cl","NIKO - KEFIR MANGUE PASSION- 6X75CL (3382)","Bouteille 75cl SAFT - 0.75L","Carton de 6","13770014427400",7.2
"NIKO - Kéfir de fruits Menthe citron vert","6x75cl","NIKO - KEFIR MENTHE CITRON VERT- 6X75CL (3382)","Bouteille 75cl SAFT - 0.75L","Carton de 6","13770014427394",7.2
"NIKO - Kéfir de fruits Gingembre","6x75cl","NIKO - KEFIR GINGEMBRE - 6X75CL (3382)","Bouteille 75cl SAFT - 0.75L","Carton de 6","13770014427417",7.2
